Título,Duración (min),Puntuación,Idioma Original,Fecha de Estreno,País(es) de Producción,Directores,Reparto,Palabras clave,Reseñas
حمام سخن,77,5.0,ar,2021-03-20,Egypt,Manal Khaled,"Habiba Effat, Ragwa Hamed, Farah Maged, Neama Mohsen, Mona Mokhtar",,
Дамасцена,136,5.5,bg,2017-11-03,Bulgaria,"Alexander Smolyanov, Todor Anastasov","Veselin Plachkov, Dimitar Banenkin, Neda Spasova, Simona Halacheva, Lyuben Chatalov","bulgaria, roses",
Los gnomos Aventuras en la nieve,75,4.75,es,1999-01-01,Spain,Ernest Reid,,gnome,
Haroun,76,6.5,fr,2021-10-27,France,Seralf Flares,Haroun,"talk show, stand-up comedy",
El milagro de Tekir,88,7.0,ro,2016-01-01,"Romania, Switzerland",Ruxandra Zenide,"Dorotheea Petre, Elina Löwensohn, Bogdan Dumitrache, George Piștereanu, Mirela Oprișor","superstition, pregnancy, religion, woman director",
Lotto,93,6.0,da,2006-06-06,Denmark,Peter Schrøder,"Ditte Gråbøl, Søren Pilmark, Nicolaj Kopernikus, Thomas Bo Larsen, Claus Bue",,
சினம்,18,2.0,ta,2021-01-22,India,Anand Murthy,"Sai Dhanshika, Bidita Bag, Livingston",,
Lee & Cindy C.,105,6.0,nl,2015-07-01,Belgium,Stany Crets,"Bert Verbeke, Ann Van den Broeck, Rik Verheye, Jaak Van Assche, Nico Sturm",,
De Loteling,82,5.3,nl,1974-02-08,"Belgium, Netherlands",Roland Verhavert,"Jan Decleir, Ansje Beentjes, Gaston Vandermeulen, Gella Allaert, Bernard Verheyden",based on novel or book,
Zaman,90,5.4,nl,1983-03-21,Belgium,Patrick Le Bon,"Marc Janssen, Herbert Flack, Gerda Lindekens, Mieke Bouve, Sylvia Sabbe",,
Gyllene Tider - Parkliv,49,10.0,sv,1981-10-24,Sweden,Lasse Hallström,"Per Gessle, Micke Syd Andersson, Anders Herrlin, Mats Persson, Göran Fritzon","rock 'n' roll, pop, concert film",
Dazzling Mirage,90,2.0,en,2014-07-11,Nigeria,Tunde Kelani,"Lala Akindoju, Seun Akindele, Kunle Afolayan, Taiwo Ajai-Lycett, Bimbo Manuel","africa, nigeria, romance, nigerian cinema",
Ghosts of Cité Soleil,85,7.067,en,2006-09-01,"Denmark, United States of America",Asger Leth,,haiti,
Underbara älskade,96,4.8,sv,2006-12-22,Sweden,Johan Brisinger,"Michael Nyqvist, Anastasios Soulis, Moa Gammel, Catherine Hansson, Philip Zandén","family tragedy, father son relationship",
Hawaiian Gardens,113,1.0,de,2001-12-06,"Germany, United States of America",Percy Adlon,"André Eisermann, Valeria Hernandez, Richard Bradford, Shareen Mitchell, Tzi Ma",,
Blue Kids,75,5.0,it,2018-06-14,Italy,Andrea Tagliaferri,"Fabrizio Falco, Matilde Gioli, Agnese Claisse, Giustiniano Alpi, Lorenzo Gioielli",,
Swooni,93,5.0,fr,2011-08-24,Belgium,Kaat Beels,"Natali Broods, Wim Danckaert, Viviane de Muynck, Issaka Sawadogo, Tibo Vandenborre",woman director,
Dance Dreams: Hot Chocolate Nutcracker,80,7.1,en,2020-11-27,United States of America,Oliver Bokelberg,"Debbie Allen, Chris Scott, Chantel Heath",,
"Some Will, Some Won't",90,6.0,en,1970-04-01,United Kingdom,Duncan Wood,"Ronnie Corbett, Thora Hird, Michael Hordern, Barbara Murray, Leslie Phillips",,
Den store dag,94,4.4,da,2005-03-18,Denmark,Morten Arnfred,"Louise Mieritz, Christian Tafdrup, Henrik Prip, Trine Dyrholm, Frank Thiel","marriage, dance lesson, marriage problems",
RITSA,90,10.0,ar,2021-12-15,Egypt,Ahmed Yousri,"Mahmoud Hemida, Ahmed Al Fishawy, Aïcha Ben Ahmed, Amir El-Masry, Mariam El Khosht",,
Hire a Woman,109,0.0,en,2019-03-29,,Ifeanyi Ikpoenyi,"Uzor Arukwe, Grace-Charis Bassey, Alexx Ekubo, Ifu Ennada, Mike Godson",,
Love Is War,111,5.2,en,2019-09-27,Nigeria,Omoni Oboli,"Omoni Oboli, Richard Mofe-Damijo",,
Todo es Gila,76,5.7,es,2022-04-21,Spain,José Miguel Contreras,"Dani Rovira, Ana Morgade, Quequé, Ignatius Farray, David Broncano",stand-up comedy,
Nerd,0,1.0,pl,2019-09-01,,Artur Schmidt,"Anna Bielecka, Katarzyna Figura, Phillip Goss, Daniel Grzelazka, Daniel Hillebrand",,
Maz Jobrani: Immigrant,67,5.8,en,2017-08-01,United States of America,Maz Jobrani,Maz Jobrani,stand-up comedy,
Jeder schweigt von etwas anderem,72,6.0,de,2006-02-11,Germany,"Marc Bauder, Dörte Franke","Dagny Dewath, Utz Rachowski","prison, german democratic republic, cold war, stasi, true-to-life",
Faut s'les faire !... Ces légionnaires,86,2.0,fr,1981-04-08,,Alain Nauroy,"Henri Garcin, Dany Carrel, Jacques Bouanich, Daniel Derval, André Valardy",,
Bob Wilson's Life & Death of Marina Abramovic,57,6.5,en,2012-09-12,,Giada Colagrande,"Willem Dafoe, Marina Abramović, Robert Wilson, ANOHNI",,
Urge to Kill,59,5.25,en,1960-03-01,United Kingdom,Vernon Sewell,"Patrick Barr, Howard Pays, Terence Knapp, Ruth Dunning, Anna Turner",murder,
Julia Reichert: El camino recorrido,32,6.0,en,2024-07-25,United States of America,"Steven Bognar, Julia Reichert",Julia Reichert,"social & cultural documentary, portrait of a filmmaker, life and career, biographical documentary, documentarian",
Wildes Deutschland: Die Lausitz,44,10.0,de,2013-04-01,Germany,Henry M. Mix,Wolf Frass,,
Tom Papa: What a Day!,60,6.7,en,2022-12-13,United States of America,Gregory Jacobs,Tom Papa,stand-up comedy,
Michael McIntyre: Showman,62,7.6,en,2020-09-15,,,Michael McIntyre,stand-up comedy,
Samtidigt på Jorden,72,6.6,sv,2020-01-23,"Denmark, Estonia, Sweden",Carl Olsson,,,
Toiset tytöt,83,4.8,fi,2015-03-13,Finland,Esa Illi,"Sara Soulié, Ida Vakkuri, Misa Lommi, Bahar Tokat, Anssi Niemi","helsinki, finland, friendship, parent child relationship, pregnancy, bullying, lithuania, drug use, coming of age, love, miscarriage, finland, vilnius, lithuania",
Patria,77,5.2,nl,2014-09-25,Netherlands,Klaas van Eijkeren,"Timothy Flohr, Pascal Vugts, Ricardo Esser, Tijs Huys, Gabriel van Eekelen",,
Pestkop,85,4.0,nl,2017-10-19,Netherlands,Sjoerd de Bont,"Roan van Dam, Tara Hetharia, Maaike Bakker, Thomas Acda, Inge Ipenburg",teenager,
Mon ami le traître,120,6.3,fr,1988-10-26,France,José Giovanni,"Valérie Kaprisky, André Dussollier, Thierry Frémont, Steve Kalfa, Yves Kerboul",,
Gabriel: Ito ang Kwento Ko....,90,0.0,tl,2013-02-06,Philippines,Ronald M. Rafer,"Norris John, Joyce Ching, Lester Lucas, Simon Ibarra, Marife Necesito",,
Mauricio Meirelles: Levando o Caos,63,7.1,pt,2020-04-16,Brazil,Diego Pignataro,Maurício Meirelles,stand-up comedy,
Rock and Roll's Greatest Failure: Otway the Movie,97,5.5,en,2013-06-30,United Kingdom,Steve Barker,"John Otway, Elton John, John Peel, Jamie Theakston, Jonathan Ross",,
Morir en San Hilario,113,4.0,es,2005-03-12,Spain,Laura Mañá,"Lluís Homar, Ana Fernández, Ferran Rañé, Ulises Dumont, Juan Echanove",woman director,
9-5,21,0.0,sr,2022-07-02,Serbia,Maša Šarović,"Mladen Sovilj, Draginja Voganjac, Sergej Trifunović, Denis Murić, Maja Nikolić",,
يربوا بعزكن,98,0.0,ar,2021-12-02,Lebanon,David Oryan,"Samer al Achy, Ramy Atallah, Rola Baksmati, Pamela El Kik, Chadi Haddad","maternity ward, dramedy, caesarian section",
Aditi Mittal: Things They Wouldn't Let Me Say,62,4.4,en,2017-07-18,India,Fazila Allana,Aditi Mittal,stand-up comedy,
Clouds Are Not Spheres,55,7.7,en,2010-01-01,United Kingdom,Nigel Lesmoir-Gordon,"Benoît B. Mandelbrot, Martin Shaw, Ivar Giaever, Pierre Roubinet, Heinz-Otto Peitgen","mathematics, mathematician, geometry, ibm, fractal",
Het leven is vurrukkulluk,94,4.9,nl,2018-01-25,Netherlands,Frans Weisz,"Reinout Scholten van Aschat, Géza Weisz, Willeke van Ammelrooy, Anniek Pheifer, Stefan de Walle",,
Blessers,86,2.0,en,2019-10-25,South Africa,Rea Rangaka,"Kenneth Nkosi, Sonia Mbele, Six Nyamane, Connie Chiume, Khathu Ramabulana",,
Mike Epps: Indiana Mike,58,5.0,en,2022-03-29,United States of America,Alfonso Johnson,Mike Epps,stand-up comedy,
Con las estrellas no se juega,0,6.3,it,2020-02-11,,Matteo Oleotto,"Alessandro Roja, Pilar Fogliati, Carlotta Natoli, Emanuela Grimalda, Fiorenza Pieri",,
Två killar och en tjej,111,5.8,sv,1983-03-25,Sweden,Lasse Hallström,"Brasse Brännström, Magnus Härenstam, Pia Green, Lars Amble, Ewa Fröling",,
India's forgotten people,0,9.0,en,2020-09-10,,,Deana Uppal,"poverty, india, social documentary",
Soólè,0,0.0,en,2021-11-26,,Kayode Kasum,"Adunni Ade, Lateef Adedimeji, Mike Afolarin, Busola Akeeb, Teniola Aladese",,
Athena : Le making of,38,7.5,fr,2022-09-30,,"Kourtrajmeuf, Benjamin Weill","Romain Gavras, Ladj Ly, Dali Benssalah","behind the scenes, making of",
ஆர். கே. நகர்,133,3.3,ta,2019-12-17,India,Saravana Rajan,"Vaibhav, Sana Althaf, Sampath Raj, Anjena Kirti, T. Siva",,
Arbëria,78,5.3,it,2019-03-26,,Francesca Olivieri,"Caterina Misasi, Brixhilda Shqalsi, Carmelo Giordano, Anna Stratigò, Denise Sapia",,
Nollywood,64,5.0,en,2020-08-07,Germany,Johannes Preuss,"Ijeoma Grace Agu, Bastian Gotter, Abba Makama, Don Omope, Daniel Emeke Oriahi",,
Céleste,107,5.8,de,1981-09-18,Germany,Percy Adlon,"Eva Mattes, Jürgen Arndt, Norbert Wartha, Wolf Euba, Leo Bardischewski",biography,
Nuestra naturaleza: la llamada de la selva,49,6.0,en,2018-07-01,Germany,"Ekrem Engizek, Timo Joh. Mayer",John Malone,,
La curva de la felicidad,95,0.0,es,2011-01-01,,Luis Sola,"Antonio Vico, Jesús Cisneros, Yolanda Arestegui, Josu Ormaetxe, Pedro Reyes",,
The Waiter,97,6.2,el,2018-11-05,Greece,Steve Krikris,"Aris Servetalis, Yannis Stankoglou, Alexandros Mavropoulos, Chiara Gensini, Maria Kallimani",,
Titanics ti liv,74,5.188,no,2007-10-31,Norway,Grethe Bøe-Waal,"Tiril Eeg-Henriksen, Martin Mbugua, Christian Skolmen, Anne Ryg, Cecilie A. Mosli","black cat, woman director",
Al óleo,80,4.2,es,2019-03-15,Spain,Pablo Lavado,"José Pastor, Chico García, Ceci Urbano, Jesús Moya, Sarah Benavente","spain, home, feminism, family, lgbt",
The Ringer,78,5.8,en,1952-11-24,United Kingdom,Guy Hamilton,"Herbert Lom, Donald Wolfit, Mai Zetterling, Greta Gynt, William Hartnell","lawyer, disguise, strange note",
La Llorona,23,0.0,hi,2019-11-16,India,H.J. Leonard,"Mrinmayee Godbole, Shivam Parekh",,
Bad Day,98,5.2,en,2008-02-18,United Kingdom,Ian David Diaz,"Claire Goose, Donna Air, Anthony Ofoegbu, George Calil, Riana Husselmann",,
D.L. Hughley: Contrarian,58,5.1,en,2018-09-18,United States of America,Jay Chapman,D.L. Hughley,stand-up comedy,
Adam,72,5.1,de,2018-02-22,Germany,Maria Solrun,"Magnús Mariuson, Floriane Daniel, Eszter Tompa, Matthias Brenner, Julia Kratz","deaf, promise, brain damage, mother son relationship",
The Cheating Game,105,0.0,tl,2023-07-26,Philippines,Rod Cabataña Marmol,"Julie Anne San Jose, Rayver Cruz, Thea Tolentino, Martin del Rosario, Yayo Aguila",,
Auf Eine Zigarette mit Álvaro Siza,52,0.0,pt,2016-01-01,,Iain Dilthey,Álvaro Siza Vieira,,
Raggare!,88,6.0,sv,1959-11-13,Sweden,Olle Hellbom,"Christina Schollin, Bill Magnusson, Hans Wahlgren, Svenerik Perzon, Anita Wall","greaser, raggare",
Tom Papa: Home Free,62,4.7,en,2024-10-29,,Troy Miller,Tom Papa,"stand-up comedy, spectacle",
Pixel Theory,120,4.0,es,2013-10-23,Spain,"Alberto Carpintero, Mar Delgado, Esaú Dharma, David Galán Galindo, Pepe Macías, Juanjo Ramírez Mascaró, Pablo Vara","Pedro Bahón, Eugenio Barona, Juan Blanco, Emilio Buale, Dámaso Conde","internet, woman director, informatics",
Angeliena,95,4.8,en,2021-10-08,"Egypt, South Africa",Uga Carlini,"Euodia Samson, Tshamano Sebe, Kuli Roberts, Thapelo Mokoena, June van Merch",,
De Zevende Hemel,94,5.0,nl,1993-01-04,"Belgium, France, Netherlands",Jean-Paul Lilienfeld,"Renée Soutendijk, Hilde Van Mieghem, Peter van den Begin, Urbanus, Ludo Busschots",suicide attempt,
Riding High,96,4.0,en,1981-05-01,,Ross Cramer,"Eddie Kidd, Irene Handl, Marella Oppenheim, Zoot Money, Murray Salem","motocross, eddie kidd",
Barry & Joan,87,0.0,en,2021-11-20,,Audrey Rumsby,"Audrey Rumsby, Barry Grantham, Joan Grantham","vaudeville, woman director, vaudeville act, vaudevillian, vaudeville performer, theatre, british",
Frank Zappa - Summer '82 : When Zappa Came to Sicily,81,7.8,en,2014-10-05,"Italy, United States of America",Salvo Cuccia,"Massimo Bassoli, Mathilda Doucette Zappa, Dweezil Zappa, Joe Travers, Gail Zappa","avant-garde, music history, progressive rock, frank zappa, american musician",
பட்டத்து அரசன்,137,5.0,ta,2022-11-25,,A. Sarkunam,"Atharvaa Murali, Rajkiran, Ashika Ranganath, Radikaa Sarathkumar, R. K. Suresh",,
Mutantes S.21 – 25 anos depois,75,0.0,pt,2019-07-06,Portugal,João de Sá,"Adolfo Luxúria Canibal, Miguel Pedro, António Rafael",,
Anja - Real Love Girl,96,5.5,it,2020-10-19,Italy,"Paolo Martini, Pablo Benedetti","Roberto Caccavo, Larthia Galli Nannini, Désirée Giorgetti, Samuele Batistoni, Daniele Favilli",,
Fukrey Boyzzz: Una aventura en el espacio,75,0.0,hi,2020-11-14,,,,,
Wave of Cinema: Filosofi Kopi,90,0.0,id,2020-09-18,Indonesia,Adriano Rudiman,"Maliq & D'Essentials, Ananda Badudu, Gede Robi, Leanna Rachel, Rio Dewanto",,
الظل,15,0.0,ar,2019-11-03,United Arab Emirates,Nayla Al Khaja,"Sara Al Aqeeli, Mohannad Huthail, Miran Yazi, Mona Ragab, Abdulrahman Ahmed",,
عبود في البيت,81,2.0,en,2023-02-01,Kuwait,Khaled Al-Mufaidi,"Bader Al Atwan, Ahmed Bin Hussein, خالد العجيرب, Dhary Abdel Reda, Khaled Al-Mufaidi","robber, home alone, children home alone, covid-19, عبود في البيت",
The Upshaws - The Afterparty,32,7.3,en,2021-05-14,,,"David Spade, London Hughes, Fortune Feimster",,
Téléphone public,100,6.5,fr,1980-05-24,France,Jean-Marie Périer,"Jean-Louis Aubert, Corine Marienneau, Richard Kolinka, Louis Bertignac","concert, rock 'n' roll, interview, backstage, singer, behind the scenes, rock band, archive footage, music tour, music documentary, french music, behind the music, documentary, famous song, live concert",
Los niños,82,6.4,es,2017-06-08,"Chile, Netherlands, France",Maite Alberdi,,down syndrome,
Statyści,118,4.6,pl,2006-10-27,Poland,Michał Kwieciński,"Kinga Preis, Bartosz Opania, Anna Romantowska, Krzysztof Kiersznowski, Małgorzata Buczkowska",,
দ্য রয়াল বেঙ্গল টাইগার,107,6.7,bn,2014-01-30,India,Rajesh Ganguly,"Shraddha Das, Jeet, Priyanka Sarkar, Abir Chatterjee, Shantilal Mukherjee",,
Town Business,7,0.0,en,2017-12-04,United States of America,"Lenni Uitto, Tara Norton","Charla Bocchicchio, Cory Dangerfield, Eric McGraw, Frank H. Cutler, Tua Kealoha","mission, town, short film, idiotas",
Dames 4,90,5.4,nl,2015-02-07,Netherlands,Maurice Trouwborst,"Hannah van Lunteren, Jennifer Hoffman, Raven van Dorst, Maaike Martens, Sanne Gloria Verboom","pregnancy, women's football (soccer), female friendship, thirty something",
The Lift Boy,107,6.2,en,2019-01-18,India,Jonathan Augustin,"Moin Khan, Nyla Masood, Saagar Kale, Aneesha Shah",,
Demi-vie à Fukushima,61,6.6,fr,2016-06-01,"France, Switzerland","Mark Olexa, Francesca Scalisi",,"japan, nuclear radiation, farmer, nuclear accidents, fukushima disaster (2011)",
Off the Beaten Track,84,0.0,ro,2011-01-01,,Dieter Auner,,,
Norrtullsligan,86,6.4,sv,1923-12-23,Sweden,Per Lindberg,"Tora Teje, Inga Tidblad, Renée Björling, Linnéa Hillberg, Egil Eide",silent film,
Cycle,78,4.4,hu,2013-02-21,,Sóstai Zoltán,Győző Szabó,,
Sunstruck,89,5.5,en,1972-12-22,United Kingdom,James Gilbert,"Harry Secombe, Maggie Fitzgibbon, John Meillon, Peter Whittle, Derek Nimmo",,
Recorriendo la Gran Muralla,45,6.0,en,2011-02-12,"Germany, United Kingdom",Christian Twente,William Lindesay,great wall of china,
Vermist,85,4.731,nl,2007-01-01,Belgium,Jan Verheyen,"Koen De Bouw, Joke Devynck, Kevin Janssens, Stan Van Samang, Catherine Kools",,
Ursul,80,6.3,ro,2011-05-06,Romania,Dan Chișu,"Șerban Pavlu, Claudiu Bleonţ, Gabriel Spahiu, Mihai Constantin, Magda Catone",,
Met grote blijdschap,90,7.6,nl,2001-02-08,Netherlands,Lodewijk Crijns,"Renée Soutendijk, Jack Wouterse, Marnie Blok, Pierre Dherte, Michael Israel",,
Far til fire's vilde ferie,80,4.5,da,2015-10-01,Denmark,Giacomo Campeotto,"Sigurd Philip Dalgas, Emilie Werner Semmelroth, Karoline Hamm, Rasmus Johnbeck, Allan Hyde",,
الخروج للنهار,96,5.9,ar,2012-10-18,Egypt,Hala Lotfy,"Donia Maher, Salma ElNaggar, Ahmed Lotfy, Doaa Oraiqat, Ahmed Sharaf",woman director,
Arrivederci Saigon,80,6.2,it,2018-10-31,Italy,Wilma Labate,"Rossella Canaccini, Franca Deni, Daniela Santerini, Viviana Tacchella","vietnam war, archive footage, all girl band, girl band, woman director, music documentary",
A ras del cielo,87,6.2,es,2013-11-22,"Spain, Portugal, Mexico",Horacio Alcalá,"Antonio Segura, Max La Sala, Damian Istria, Erika Nguyen, Fadi Zmorrod",circus,
Värmlänningarna,88,0.0,sv,1957-12-26,Sweden,Göran Gentele,"Busk Margit Jonsson, Per Myrberg, Adolf Jahr, Björn Gustafson, Mona Malm",musical,
Så olika,104,4.5,sv,2009-11-06,Sweden,Helena Bergström,"Ingela Olsson, Anna Ulrika Ericsson, Philip Zandén, Johan Widerberg, Lena-Pia Bernhardsson","sibling relationship, love, woman director",
Tomorrow We Live,87,6.0,en,1943-04-05,United Kingdom,George King,"John Clements, Greta Gynt, Hugh Sinclair, Yvonne Arnaud, Godfrey Tearle","drowning, torture, rowboat",
Making The Billion Dollar Code,28,6.3,en,2021-10-07,Germany,Gunnar Weber,"Axel Schmidt, Pavel Mayer, Gerd Grüneis, Susanne Jaschko, Martin Silbernagl",documentary short,
Las monstruosas aventuras de Zipi y Zape,82,6.0,es,2005-03-09,Spain,Claudio Biern Boyd,,"based on comic, based on cartoon, twins, rascal",
Alan Saldaña: encarcelado,49,6.0,es,2021-06-03,,,Alan Saldaña,"stand-up comedy, mexican",
Benidorm mon amour,95,5.6,es,2016-06-24,Spain,Santiago Pumarola,"Nazaret Aracil, Miguel Barberá, Diego Braguinsky, Andreu Castro, Anaïs Duperrein",,
Prästen som slog knockout,86,4.2,sv,1943-03-06,Sweden,Hugo Bolander,"Allan Bohlin, Åke Söderblom, Gaby Stenberg, Gösta Cederlund, Ivar Kåge",,
Dân Chơi Không Sợ Con Rơi,0,4.7,vi,2022-07-29,Vietnam,Huỳnh Đông,"Tiến Luật, Bé Bảo Thi, Huỳnh Phương, Vân Trang, Ngô Kiến Huy",,
Nubes De Carton,104,3.6,es,2019-11-01,Spain,Sergio Hernández,"Juan de Dios Ledesma, Yazmina Guerra, Alexandra Prokhorova, Sergio de Ángel, Isidro Vigo",,
Jani Dueñas: Grandes fracasos de ayer y hoy,77,6.2,es,2018-06-29,"Chile, Mexico, United States of America","Raúl Campos, Jan Suter",Jani Dueñas,stand-up comedy,
நீ எங்கே என் அன்பே,145,4.5,ta,2014-05-01,India,Sekhar Kammula,"Nayanthara, Pasupathy, Vaibhav, Harshvardhan Rane, Vinay Varma",remake,
เดี่ยว 13,173,6.8,th,2022-06-10,Thailand,Udom Taepanich,Udom Taepanich,,
Panie Dulskie,0,4.9,pl,2015-10-02,Poland,Filip Bajon,"Krystyna Janda, Katarzyna Figura, Maja Ostaszewska, Katarzyna Herman, Władysław Kowalski",,
திருவின் குரல்,122,4.8,ta,2023-04-14,India,Harish Prabhu,"Arulnithi, Bharathiraja, Aathmika, Subathra Robert, Monekha Siva",,
Oublie-moi,95,5.8,fr,1995-01-24,France,Noémie Lvovsky,"Valeria Bruni Tedeschi, Emmanuelle Devos, Laurent Grévill, Emmanuel Salinger, Philippe Torreton",woman director,
Everything: The Real Thing Story,94,6.2,en,2020-01-24,,Simon Sheridan,"Jacob Anderson, Eddie Amoo, Chris Amoo, Dave Smith, Billy Ocean",,
The Pot Carriers,82,6.1,en,1962-03-10,United Kingdom,Peter Graham Scott,"Ronald Fraser, Paul Massie, Carole Lesley, Paul Rogers, Dennis Price",,
Elevator Baby,84,4.0,en,2019-06-01,Nigeria,Akhigbe Ilozobhie,"Toyin Abraham, Shaffy Bello, Timini Egbuson, Sambasa Nzeribe, Yemi Solade",,
Elsk meg i morgen,90,6.8,no,2005-09-23,Norway,Petter Næss,"Per Christian Ellefsen, Sven Nordin, Marian Saastad Ottesen, Marit Pia Jacobsen, Kjersti Holmen","based on novel or book, male friendship, sequel, oslo, norway",
LiSA Another Great Day,97,7.7,ja,2022-10-18,Japan,Taketoshi Sado,LiSA,"concert, japanese music, music documentary, documentary",
Il suo nome è Donna Rosa,104,5.5,it,1969-08-05,Italy,Ettore Maria Fizzarotti,"Al Bano, Romina Power, Nino Taranto, Bice Valori, Pippo Baudo",musicarello,
10 años con Bebe,80,2.0,es,2016-04-29,Spain,Hernán Zin,"Pablo Alborán, Bebe, Rossy de Palma, Ricardo Darín, Óscar Jaenada",musical,
Jo Koy: Live from the Los Angeles Forum,74,7.2,en,2022-09-13,United States of America,Shannon Hartman,Jo Koy,stand-up comedy,
Gollu Aur Pappu,112,4.7,hi,2014-11-21,,,"Kunaal Roy Kapur, Vir Das, Dimple Kapadia, Sandeepa Dhar, Shobhita Rana",,
滝沢歌舞伎 Zero 2020 The Movie,140,0.0,ja,2020-12-04,,Hideaki Takizawa,"Hikaru Iwamoto, Tatsuya Fukazawa, Raul, Shota Watanabe, Ryohei Abe",,
Operation Mayfair,116,3.2,hi,2023-03-24,,Sudipto Sarkar,"Jimmy Shergill, Vedieka Dutt, Ankur Bhatia, Hritiqa Chheber, Sneha Singh",,
Is God a Number?,52,8.3,en,1999-01-01,United Kingdom,Nigel Lesmoir-Gordon,"Roger Penrose, Vicky Hastead, John Polkinghorne, Horace Barlow, Michael Barnsley","consciousness, fractal, documentary, science and nature, science documentary, infinity",
المطاريد,100,7.0,ar,2023-01-25,Egypt,Yasser Samy,"Ahmed Hatem, Tara Emad, Eyad Nassar, Mohamed Mahmoud, Mahmoud El-Bezzawy",,
Le nozze di Laura,95,4.5,it,2015-12-08,Italy,Pupi Avati,"Marta Iagatti, Valentino Agunu, Alessandro Sperduti, Nicola Rignanese, Toni Santagata",interracial marriage,
Adrienne Iapalucci: The Dark Queen,53,6.0,en,2024-11-12,,Louis C.K.,Adrienne Iapalucci,stand-up comedy,
Une affaire qui roule,90,5.0,fr,2002-07-03,France,Éric Veniard,"Clovis Cornillac, Denis Podalydès, Axelle Laffont, Husky Kihal, Camille Japy","bath, restaurant",
True: Rainbow Rescue,0,4.5,en,2020-06-02,United States of America,,"Michela Luci, Jamie Watson, Eric Peterson",,
Cara sposa,109,4.75,it,1977-09-15,Italy,Pasquale Festa Campanile,"Johnny Dorelli, Agostina Belli, Enzo Cannavale, Lina Volonghi, Livia Cerini","italian, dramatic, romantic",
Daniel Sosa: Sosafado,75,5.8,es,2017-02-03,Mexico,"Jan Suter, Raúl Campos",Daniel Sosa,stand-up comedy,
Simplemente Manu NNa,71,3.8,en,2017-05-05,,"Raúl Campos, Jan Suter",Manu NNa,stand-up comedy,
Budhia Singh: Born to Run,112,6.143,hi,2016-08-05,India,Soumendra Padhi,"Manoj Bajpayee, Mayur Mahendra Patole, Tillotama Shome, Gajraj Rao, Shruti Marathe",biography,
Rolande met de bles,105,5.5,nl,1973-01-01,Belgium,Roland Verhavert,"Jan Decleir, Elizabeth Teissier, Liliane Vincent, Raoul de Manez, Robert Marcel",,
Spelling the Dream,82,7.0,en,2020-06-03,United States of America,Sam Rega,"Srinivas Ayyagari, Jacques Bailly, Valerie Browning, Ratnam Chitturi, Shourav Dasari","spelling bee, breaking the bee",
Flip a Coin: One Ok Rock Documentary,105,7.0,ja,2021-10-21,Japan,Naoto Amazutsumi,"Takahiro Moriuchi, Toru Yamashita, Ryota Kohama, Tomoya Kanki",,
"N번방: 악의 평범성, 그리고 디지털 공간",51,4.0,ko,2021-05-28,,Lee Min-young,"Park Deu-ni-saem, Lim Byeong-su, Lee Yong-soo, Jo Woo-cheol, Kyeong Hyeon-su",true crime,
Assassin’s Creed VR Experience,5,0.0,en,2016-12-01,,,,virtual reality movie,
Día de saneamiento,105,4.7,en,2021-01-29,Nigeria,Seyi Babatope,"Blossom Chukwujekwu, Elozanam Ogbolu, Charles Inojie, Nse Ikpe-Etim, Baaj Adebule",,
My Dad's on Death Row,60,0.0,en,2016-11-27,United Kingdom,Thomas Leader,"John Battaglia, Coy Wesbrook, Christie Battaglia","death penalty, texas, true crime, united states",
サザンオールスターズ 『茅ヶ崎ライブ2023』,147,0.0,ja,2024-02-02,Japan,Kentaro Matsunaga,"Keisuke Kuwata, Hiroshi Matsuda, Kazuyuki Sekiguchi, Yuko Hara, Hideyuki Nozawa","pop music, j-pop",
My Next Guest with David Letterman and Shah Rukh Khan,101,6.0,en,2019-10-25,United States of America,Michael Steed,"David Letterman, Shah Rukh Khan, Gauri Khan",,
박나래의 농염주의보,62,5.8,ko,2019-10-16,South Korea,Kim Joo-hyung,Park Na-rae,stand-up comedy,
"Ciao, Brother!",98,6.8,it,2016-06-09,Italy,Nicola Barnaba,"Fabrizio Nardi, Nico Di Renzo, Benedicta Boccoli, Francesca Della Ragione, Clayton Norcross",,
Jolly Roger,89,4.7,en,2022-05-07,Nigeria,Walter Taylaur,"Daniel Etim Effiong, Deyemi Okanlawon, Toni Tones, Frank Donga, Tina Mba",,
Michael,97,5.5,hi,2011-09-15,India,Ribhu Dasgupta,"Mahie Gill, Naseeruddin Shah, Rudranil Ghosh, Churni Ganguly",,
Glastonbury Fayre,87,7.0,en,1972-05-01,United Kingdom,"Nicolas Roeg, Peter Neal","Arthur Brown, Magic Michael, Linda Lewis, Terry Reid, Steve Winwood",,
Brian Simpson: Live from the Mothership,70,5.0,en,2024-03-19,,Baron Vaughn,Brian Simpson,stand-up comedy,
Pēdējā padomju filma,81,6.8,en,2003-05-04,"Austria, Latvia","Alexander Hahn, Aleksandrs Petukhovs","Dzintars Belogrudovs, Yevgeniya Kryukova, Igor Klass, Larisa Shakhvorostova, Valdemārs Karpačs",,
10 000 timmar,90,5.4,sv,2014-04-04,Sweden,Joachim Hedén,"Peter Magnusson, Karin Lithman, Özz Nûjen, Mathilda von Essen, Jessica Aleryd",,
