title,title_comment,comment
Chilling Adventures of Sabrina,Went from a promising dark teen series to a total train wreck,"The series starts strong in the first season with interesting characters and a dark tone, that the original didn't have. But sadly it all goes down quickly for an almost lighthearted goofy series at the end, including lots of singing and dancing and mysterious strong characters turning into silly shadows of themselves at the end. Characters who have had a strong goal seem to just be carried away to a point of just existing for the sake of being there. Character development jumps back and forth, in one episode they feel this way, in another they feel the opposite and so on. Furthermore the story becomes more ridiculous on every episode leading to a total train wreck that is the finale.

I really recommend the first season and then just forget that there are three more to watch."
Chilling Adventures of Sabrina,Season 3 is one facepalm after another,Comentario no disponible
Chilling Adventures of Sabrina,"Please season 4 writers, I'm begging you, fix this trainwreck.",Comentario no disponible
Chilling Adventures of Sabrina,"Part 1 and 2 were awesome, now part 3 is turned into some cheesy teen pop musical series","Why did they have to kill all the nice dark chills this show had in part 3? How did they even suppose it'll be a good thing to kill what the show was and was loved by us the audience for and turn it into some cheesy teen pop musical instead? I see no logic in ruining something that was just right and had a fan base and turn it into something very different by adding these repulsive scenes that were almost never in the previous two parts and totally changing the feel of the show. I'm disappointed, I loved the previous parts, but now since part 3's 2nd episode I am not even sure if I want to continue watching it, too much cringe. It seems like this cheesy teen singing stuff just killed it for me. Thanks a lot for ruining yet another good series that had great potential."
Chilling Adventures of Sabrina,What's wrong with season 3?,Why Sabrina is a musical now? I am very disappointed.
Chilling Adventures of Sabrina,Mixed bag,"The first two seasons are exceptional, the third and fourth seasons descend into poorly written madness. Overall, I'd say I'm glad I watched but also glad its over. Decent acting and good cinematography throughout."
Chilling Adventures of Sabrina,Seasons 1 & 2 are great. Season 3 is bad.,"The first two seasons are great. Great writing, great theming, great plots, music and mood is excellent. Even the acting is really good. Then at the very last episode of season 2 you can just feel what's coming, it's like everyone is thinking, wow, our show is really popular now and we can just do whatever we want next season. The first episode of season 3 is total cornball. The music is stupid. The acting is cheesy/corny. The writing is awful. It's like the show went directly from Netflix to Nickelodeon. I don't know if all the producers and writers walked away or what happened but the show just sucks now. We literally had to step away from a show that we blissfully binge watched for two seasons and that saddens me."
Chilling Adventures of Sabrina,The final episode cost it a star,A very entertaining show with a great lead and supporting cast. Bringing in the two actresses who played Sabrina's aunt's in the TV show (which I never watched) was a great Easter egg. But the finale was a downer and felt rushed.
Chilling Adventures of Sabrina,Part 3 what?,Was so excited for the part 3 release but was disappointed quickly. So much going on everywhere in part 3 it was hard to keep my attention. Hopeful for a part 4 comeback as this series still has potential somewhere.
Chilling Adventures of Sabrina,A Watered-down Version of a Stellar Horror Comic,"IMDb crashed and deleted my long review, so :'''))) I'm going to keep this short: I understand why fans of ""Sabrina the Teenage Witch"" are rating this series so highly, because they think it's a fresh and exciting take, however, this is a poor adaptation of the actual comic this is based on, a horror comic titled ""Chilling Adventures of Sabrina. Moving past the fresh and exciting ideas of the comic, it's not a compelling representation of them.

This series waters down SO much. In the original comic, there was a heavy emphasis on Sabrina's aunts being cannibals, graphic scenes of Hell and Satanic rituals, nudity and gore were EVERYWHERE. It immediately set a legitimate horror tone for the comic, whereas you never get the feeling in this tv show like something bad might happen to the characters. It feels too ""nice"" and like an obvious tv production, like Riverdale. There's not the same standard of narrative tension.


-They also jumble up the story wildly (and remove some of the best aspects) from the comic - I assume to stretch it out so they can add them in later. And while you can argue that this is an adaptation and it doesn't need to be the same, the point is that it's not better - in fact, it's less interesting. For an example - this isn't even a spoiler because its not in the show - in the comic, Harvey follows Sabrina to her dark baptism and get murdered/eaten by witches (and then brought back to life through necromancy). But the point of him being there was incredibly important to **certain** decisions for Sabrina, and it's exciting (hello!! murdering the love interest and then necromancy? awesome). But they just cut it out. And the resulting scene is just, less important for her as a character, and its duller

-There are storylines inserted (mainly high school drama ones) that add nothing to the show other than confusing its tone.

-Netflix shows should have the luxury of ""showing"" not ""telling"" and allowing for a more cinematic experience. I couldn't count the number of times that people's backstories and personalities were just explained through dialogue instead of showing us.



Overall, there are positives about this series (set design is good, it is also atmospheric in places, and I don't mind the actors), but when you really look at this series, it plays like Riverdale, which is """"okay"""" if they're pandering to a younger audience, but this series could have been something GREAT in the vein of more serious adaptations like the Haunting of Hill House. I highly recommend that if you're unsure about what I'm talking about, read the comic series ""Chilling Adventures of Sabrina"", because it's definitely more arresting than this."
Chilling Adventures of Sabrina,This is not a remake of the sitcom..,Comentario no disponible
Chilling Adventures of Sabrina,Disappointing.,Plenty of potential but a bit boring. I find the 10/10 scores a bit much.
Chilling Adventures of Sabrina,So much wasted potential.,"In the beginning this show was a breath of fresh air. The sets and overall visual style of the show created such a rich atmosphere and the story was enthralling to watch. Witch shows are rarely this dark and satanic but it worked.

Unfortunately, each season the writing/story got worse, not better. In the end, season 4 was an empty, boring mess. I actually get why Netflix cancelled it because the quality of the writing had drastically decreased with every season and the expensive budget surely wasn't feasible any longer considering people have definitely stopped watching.

This is the second show that Roberto Aguirre-Sacasa has now destroyed with his horrible writing/pacing. He's quickly becoming one of those showrunners who cannot sustain good storytelling throughout a series run."
Chilling Adventures of Sabrina,As the episodes go further my interest go lower,"At the beginning I was amazed by show, loved the touch of horror and crime, loved the conflict between aunties/sisters Zelda and Hilda. But, few last episodes were boring mainly because of main character Sabrina. Why she can't be smart, wicked, good and bad in same time. They had to ruin her with '' choose help from stranger, over your own family?! "" seriously?! Waiting for season 2 to see if they will change the way how they will proceed with Sabrina character. The rest of the characters are amazingly good written."
Chilling Adventures of Sabrina,"So, so bad",I wanted to love this show . I was completely fine with it not being like the sitcom . I love dark shows and witches but Sabrina is so annoying . The writing is so corny and Sabrina and Zelda speak so stuck up. Not because of Zelda's accent . When Sabrina goes of on her little rants her voice gets so uppity. And she's a terrible actor . Also do we really need to get political ? No one in high school acts like this . Sooooo bad
Chilling Adventures of Sabrina,"Not bad, but a little on the annoying side","After recently reading the comics of the same title, I was extremely excited for this series. I found it a refreshing spin on the original 90's version, which was cute but I was never that in to it. But, honestly you really can't call this a remake. My biggest issues are with Sabrina's annoying damn friends. This ridiculous obsession with Harvey and the hypocrisy that is her ""i don't want to join the club but i want the benefits"" mindset. Like it exhausting watching her put her friends and family in danger constantly and then turn around and say she's doing it all so that she can maintain her freedom. Overall i still like the show and some of the main characters, but it's a bit tiresome watching Sabrina's silly character run all over the place."
Chilling Adventures of Sabrina,"Poor direction,no storyline, confusing title. pathetic show","Why did u do it netflix ? why ? why did u take our fav show frm childhood & ruined it beyond recovery. Riverdale itself is a mediocre show & d same director for sabrina. I don know where to start d show is nothin about magic , spells , good visuals or for dat matter a storyline.The visuals are cheap as if its shot in a freaking tent !. The actings skills of most of the actors including sabrina sometimes not dat fascinating. It could have been a beautiful show instead one having cheap background scenes , overacting, 0 storyline & poor poor direction. Even if its a new adaptation & not a remake it could have been so mch more about the witches & spells & magic rather than js a girl trying to prove her point & claim her freedom.How is that witchery ? Not sure what they are trying to show. Bad bad bad show man"
Chilling Adventures of Sabrina,Pulpy and Entertaining,"I've enjoyed both seasons, but the second really got cooking about half way through. Very much looking forward to the next two seasons."
Chilling Adventures of Sabrina,liked the concept but characters are annoying,"I really liked the idea, but Sabrina annoys me with her ""why can't I"" superiority and I need to put my boyfriend above everything, including family. Maybe it's because she's a teenager but I don't know... Not really a fan... Other characters are okay I suppose"
Chilling Adventures of Sabrina,Chilling,"I recently finished all the episodes. It was a dark mood from the beginning to end, i was very much excited to watch every new episodes. The perfomance of the character who played Sabrina was outstanding and nothing to say about it . At the last episode my heartbeat raised and felt a dark. After all it was a wonderful series."
Chilling Adventures of Sabrina,Sabrina the (Social Justice Warrior) Witch,Comentario no disponible
Chilling Adventures of Sabrina,Refreshingly Different,"This is my first review and deservingly so. Its cheeky, daramatic, pleasantly gory, and it has perfect moments of needed comedy. NETFLIX did a great job with this one."
Chilling Adventures of Sabrina,I was expecting more,"I was excited based on previews but after the pilot I don't think I can watch anymore. The ""what year is this"" idea is fun and I've seen it used successfully elsewhere but it doesn't really work here (it's the 1960s, but woke!). Sabrina is played in a very polished, actor-ly way, which works against the dark vibe the show is otherwise trying to establish."
Chilling Adventures of Sabrina,Season 3 ruined the series,Season 3 is Scooby Doo meets Highs School Musical. The musical numbers that are jammed into the episodes make no sense
Chilling Adventures of Sabrina,Couldn't even finish the first episode,"I glanced over an article a few days ago that said this show was worth watching, so I decided to go for it. They were wrong.

Not even 30 minutes in and there is already more talk about patriarchy, masculinity, white privilege and other far left buzzwords than about anything that the series is supposedly about. If that's your cup of tea, then I see no reason why you wouldn't like this show. But if you don't like far left ideology being pushed as some sort of irreproachable moral standard, then this show might not be for you.

I decided to stop watching after about 25 minutes. But by all means, watch the first episode and see for yourself."
Condom Lead,Went from a promising dark teen series to a total train wreck,"The series starts strong in the first season with interesting characters and a dark tone, that the original didn't have. But sadly it all goes down quickly for an almost lighthearted goofy series at the end, including lots of singing and dancing and mysterious strong characters turning into silly shadows of themselves at the end. Characters who have had a strong goal seem to just be carried away to a point of just existing for the sake of being there. Character development jumps back and forth, in one episode they feel this way, in another they feel the opposite and so on. Furthermore the story becomes more ridiculous on every episode leading to a total train wreck that is the finale.

I really recommend the first season and then just forget that there are three more to watch."
Condom Lead,Season 3 is one facepalm after another,Comentario no disponible
Condom Lead,"Please season 4 writers, I'm begging you, fix this trainwreck.",Comentario no disponible
Condom Lead,"Part 1 and 2 were awesome, now part 3 is turned into some cheesy teen pop musical series","Why did they have to kill all the nice dark chills this show had in part 3? How did they even suppose it'll be a good thing to kill what the show was and was loved by us the audience for and turn it into some cheesy teen pop musical instead? I see no logic in ruining something that was just right and had a fan base and turn it into something very different by adding these repulsive scenes that were almost never in the previous two parts and totally changing the feel of the show. I'm disappointed, I loved the previous parts, but now since part 3's 2nd episode I am not even sure if I want to continue watching it, too much cringe. It seems like this cheesy teen singing stuff just killed it for me. Thanks a lot for ruining yet another good series that had great potential."
Condom Lead,What's wrong with season 3?,Why Sabrina is a musical now? I am very disappointed.
Condom Lead,Mixed bag,"The first two seasons are exceptional, the third and fourth seasons descend into poorly written madness. Overall, I'd say I'm glad I watched but also glad its over. Decent acting and good cinematography throughout."
Condom Lead,Seasons 1 & 2 are great. Season 3 is bad.,"The first two seasons are great. Great writing, great theming, great plots, music and mood is excellent. Even the acting is really good. Then at the very last episode of season 2 you can just feel what's coming, it's like everyone is thinking, wow, our show is really popular now and we can just do whatever we want next season. The first episode of season 3 is total cornball. The music is stupid. The acting is cheesy/corny. The writing is awful. It's like the show went directly from Netflix to Nickelodeon. I don't know if all the producers and writers walked away or what happened but the show just sucks now. We literally had to step away from a show that we blissfully binge watched for two seasons and that saddens me."
Condom Lead,The final episode cost it a star,A very entertaining show with a great lead and supporting cast. Bringing in the two actresses who played Sabrina's aunt's in the TV show (which I never watched) was a great Easter egg. But the finale was a downer and felt rushed.
Condom Lead,Part 3 what?,Was so excited for the part 3 release but was disappointed quickly. So much going on everywhere in part 3 it was hard to keep my attention. Hopeful for a part 4 comeback as this series still has potential somewhere.
Condom Lead,A Watered-down Version of a Stellar Horror Comic,"IMDb crashed and deleted my long review, so :'''))) I'm going to keep this short: I understand why fans of ""Sabrina the Teenage Witch"" are rating this series so highly, because they think it's a fresh and exciting take, however, this is a poor adaptation of the actual comic this is based on, a horror comic titled ""Chilling Adventures of Sabrina. Moving past the fresh and exciting ideas of the comic, it's not a compelling representation of them.

This series waters down SO much. In the original comic, there was a heavy emphasis on Sabrina's aunts being cannibals, graphic scenes of Hell and Satanic rituals, nudity and gore were EVERYWHERE. It immediately set a legitimate horror tone for the comic, whereas you never get the feeling in this tv show like something bad might happen to the characters. It feels too ""nice"" and like an obvious tv production, like Riverdale. There's not the same standard of narrative tension.


-They also jumble up the story wildly (and remove some of the best aspects) from the comic - I assume to stretch it out so they can add them in later. And while you can argue that this is an adaptation and it doesn't need to be the same, the point is that it's not better - in fact, it's less interesting. For an example - this isn't even a spoiler because its not in the show - in the comic, Harvey follows Sabrina to her dark baptism and get murdered/eaten by witches (and then brought back to life through necromancy). But the point of him being there was incredibly important to **certain** decisions for Sabrina, and it's exciting (hello!! murdering the love interest and then necromancy? awesome). But they just cut it out. And the resulting scene is just, less important for her as a character, and its duller

-There are storylines inserted (mainly high school drama ones) that add nothing to the show other than confusing its tone.

-Netflix shows should have the luxury of ""showing"" not ""telling"" and allowing for a more cinematic experience. I couldn't count the number of times that people's backstories and personalities were just explained through dialogue instead of showing us.



Overall, there are positives about this series (set design is good, it is also atmospheric in places, and I don't mind the actors), but when you really look at this series, it plays like Riverdale, which is """"okay"""" if they're pandering to a younger audience, but this series could have been something GREAT in the vein of more serious adaptations like the Haunting of Hill House. I highly recommend that if you're unsure about what I'm talking about, read the comic series ""Chilling Adventures of Sabrina"", because it's definitely more arresting than this."
Condom Lead,This is not a remake of the sitcom..,Comentario no disponible
Condom Lead,Disappointing.,Plenty of potential but a bit boring. I find the 10/10 scores a bit much.
Condom Lead,So much wasted potential.,"In the beginning this show was a breath of fresh air. The sets and overall visual style of the show created such a rich atmosphere and the story was enthralling to watch. Witch shows are rarely this dark and satanic but it worked.

Unfortunately, each season the writing/story got worse, not better. In the end, season 4 was an empty, boring mess. I actually get why Netflix cancelled it because the quality of the writing had drastically decreased with every season and the expensive budget surely wasn't feasible any longer considering people have definitely stopped watching.

This is the second show that Roberto Aguirre-Sacasa has now destroyed with his horrible writing/pacing. He's quickly becoming one of those showrunners who cannot sustain good storytelling throughout a series run."
