title,title_comment,comment
"Out of Many, One",,
Soa,,
Dreamworks How to Train Your Dragon Legends,,
Bonus Family,Another NFLX Homerun,An absolutely entertaining uncomfortable wonderful show with great actors. I went through almost the same situation and its comforting to know that it happens all over the world and is not unique to me or the US.
Bonus Family,Big Irish Fan,I'm a big fan of anything scandanavian . Great show top notch acting . Really captures modern European family life.
Bonus Family,Great depiction of modern family life in Sweden/Europe,"I binge watched most of the three series on Netflix. The series shows a couple, their exes and the children from their respective relationships. The newly gained children or parents are not called stepson or stepmother, but bonus-son or bonus-mother. Other than this politically correct streak, any issue that might arise in these circumstances comes round: a child with ADHD, adolescent moods, exes still being in love, grandparents barging in etc. And these are dealt with in a modern way, i.e. not judgemental, but also not always very efficient. I loved the realistic display or people changing their mind on both rational (not often) and emotional grounds as well as the unlikely couples (as in life): the 'anally retentive' math teacher with the liberal, artsy mother; the career-wise not very successful man, still living in with this mother, getting the most balanced wife (with a complicated family) and the rather spoilt children growing up and dealing with/exploiting their having to live (part of the time) with all their parents and their bonus siblings. And last but not least, the peculiar therapists couple that is called for frequently. The negative reviews you might encounter here, to me demonstrate that the show is so realistic that some people start to criticise the characters' actions (as morally or otherwise corrupt). Especially after the cliff hanger of the third season, I hope Netflix will commission the fourth series. I will certainly watch it."
Bonus Family,Top notch show that will not disappoint you for a single second,"First of all, do not get deterred by the fact that it is Swedish: it has nothing of the dry, coward European cinema. The subject itself is nothing new: the problems of a recent couple along with problems of their children, ex-partners, new partners of their ex-partners. But it is so brilliantly written and perfectly played, it doesn't let you down for a single episode. It a shows about serious matters (family, commitment, divorce, kids...) but approached with a great sense of humor and (rare thing) really funny jokes. It also has great characters and witty comebacks that make it a hidden gem that I hope Hollywood will never remake."
Bonus Family,Great series.,"Just a couple of things: The negative or lukewarm reviews here seem to do mostly with people claiming offense at the living arrangements. But this sort of mixed and complex family configuration, which can be found in many contemporary societies, is precisely what the positive term ""bonus family"" indicates. If you're priggish about contemporary family practices, then don't watch a series whose very title gives you advance warning of what it deals with.

Second, this is absolutely not a Scandinavian version of Modern Family. Except for the general framing of contemporary cross families that have become common with the availability of divorce, there are no similarities between the two series. Indeed, to think that there are is reductionistic and even carries a whiff of ethnocentrism as Bonus Family is much better than Modern Family and not just a rip off but a highly original work that stands on its own merits.

Third, while I share the exasperation with the Eddie character and agree that he is a horrible spoiled brat, he really doesn't take up that much screen time and his presence simply injects a very realistic dimension to the intertwined family lives. No one should not watch the series just for a single character."
Bonus Family,Parenting or lack thereof,Comentario no disponible
Bonus Family,"Entertaining, but...",... it gets old watching a bunch of spoiled kids parented by even more immature adults than they are. No real plot. Okay for what it is - a respite from thinking.
Bonus Family,"A unique drama series, haven't regretted a single second watching it!","It's not a stereotypical drama series, I understood that from the first episode. The direction, the script, the actors, everything is so well executed that it makes bonusfamiljen unforgettable. The plot has so many twists and lessons that makes you empathy every single personality. I would recommend it to everybody, one of the best series I've ever watched!"
Bonus Family,Entertaining but sometimes painful to watch,"While I couldn't stop myself from binge watching all three seasons, the second hand embarassment and anger I felt towards the character of Lisa made my blood boil. She might be the most annoying movie/TV character since Forrest Gumps Jenny."
Bonus Family,I just hate Lisa,"I hated, I hated, I hated her. She was such a selfish, unmature, whiny and greedy woman with no ability to raise her children. Otherwise this could have been a great serie."
Bonus Family,Some really good acting here but frustrating!,"Eddie. Eddie Eddie Eddie.

Clearly Frank Dorsin has a real future in acting given that I haven't found or seen any comments where anyone actually likes his character. Eddie is the biggest pain in the neck EVER.

But actually so painful he ruins many episodes.

I just hope Frank hasn't been typecast!

I think this could be a real go to series every week... but without Eddie. The rest of the characters are likeable and you can really see where the writers are coming from."
Bonus Family,THE BEST SHOW EVER,"This show is incredibly good, it is so real that it transcends language and geographical differences. It is funny, sad, moving, relevant -- everything together but not sappy like so many of these family dramas can be. I loved every minute of it and wanted more when it finished. The fact that it is Swedish does not make it any less relatable -- it makes it even better because we get a glimpse into a country and culture that we read about and know as almost a Utopia, with all their social benefits, great education system, open attitude -- and we see them with problems that everyone has at the same time as being able to appreciate what a great country it is. Please whoever is out there who has power over this series, renew, renew, renew!!!!!!!!!!!!"
Bonus Family,Season 1&2 were great but then...,"First two seasons were great and I just loved the show, would give 9 stars for them, but something happened in season 3. They somehow lost the touch, and it wasen't the same again, story line and characters become more like unreal and even irritating."
Bonus Family,The character Eddie makes the show almost unbearable to watch,"Unfortunately I think it is a very good show. However many times I have wanted to stop watching because although the writing, characters, and story line are very well done. ""Eddie"" is an out of control horrible spoilt and undisciplined brat. With a bad attitude and foul mouth on him. He is a bully he is rude and and is a complete and utterly annoying iratation to watch. ABOSUTELY DREADFUL!!!! And the parenting or complete lack of it I find disgusting. The adults come across as mindless fools when it comes to Eddie with their reactions or lack there of are outrageously unbelievable. Everyone I have ever spoke to shares the same opinion, the characteristics of Eddie are so off putting and unacceptable that they are the reason many people have or are considering to stop watching the show"
Bonus Family,Lovely to watch,As an Dutch expat living in Spain I watch this Swedish serie via Netflix. This Swedish family gives me such a good feeling. It makes me feel easy. I love it to watch. I hope many episodes will follow then the 3 I have seen till so far.
Bonus Family,a really good show about regular people,"Finally there is a series that is NOT about drugs, drug lords, gangsters, the mob, nasty politics or vicious people who prey on others. this is a well done, nicely acted, well written/directed human story about modern living and the trials/tribulations that come with it and how not rich people evolve in making life good decisions. many situations are fully recognizable and give one a good perspective on their lives. i would have to agree that the parenting is really rather poor. both eddie and Bianca are selfish, lazy, foul-mouthed and totally undisciplined. it seems the fathers have the right idea but acquiesce to the mothers. the third season left me hanging, so i hope there is another."
Bonus Family,How NOT to parent,"I normally love Scandinavian shows, especially Swedish but this show is a horror show disguised as a dramedy. Zero good parenting; Uber selfish and immature adults and, William aside, nightmare children. Especially Eddie. Everybody is selfish, stupid, self absorbed and have no empathy. None. Not an ounce of sympathy for anyone other than themselves. The opposite of your usual ""Nordic"" show. Ship Eddie to Ireland, he'll shape up right quick."
Bonus Family,Confusing to say the least..,"I wanted something that would be an easy watch in order to progress with my Swedish better, but that's as enthused as I am with the programme. There's no definitive storyline, and it almost seems like the writers tried to really stretch out the content they had for each episode. Added parts to the story seem pointless - like Martin's mum and Gugge, Katja's relationship with the office guy. None of it really gels together well enough for it to be significant or make much sense. I'm currently episode 2 of season 2, so will continue to give the benefit of the doubt. Lengthy and can be slow at times, but overall an easy watch."
Bonus Family,"Swedish version of ""Modern Family""","This is a well written, funny version of ""Modern Family"". Because it is set in a different culture, it has its own originality. If you are not familiar with Scandinavian culture and their way of thinking, you probably may not relate well to the plot. The story revolves around a family of ""exes"", who have changed partners and are trying to make the change in family life and dynamics a workable one. There is the attempt to maintain old relationships so as not to radically change the family dynamics, all this while trying to make new relationships work. The acting is very good, and the issues associated with each character really comes through....no holds barred! The sexually liberated themes may not sit well with more prudish audiences but it is a reality in that culture where sexual activity and education starts early, and is regarded as a natural bodily function that is openly discussed. The subtitle translation is well done in ""modern"" English, and this fits well with the current way of conversing in today's world. Overall, it's a great series and I hope there will be a second season shown here in the US."
Bonus Family,"I liked season 1, but I took 3 stars off for season 2","While it's interesting to see modern and complex family dynamics, quite a few characters have really started to grate on me, especially Lisa, who seems to have no social boundaries and pushes her will and kids on everyone. And it's not as if she's got easy going kids.

In season 2, even the sensible people make weird and stupid decisions and they force all of that on their ill behaved kids. It just gets very difficult to watch after a while.

It's a No for me now. I cannot keep it up anymore."
Bonus Family,Emotional Family Drama Done Well,"I wasn't sure I believed this series could deserve all the awards it's won according to IMDB, but it's not long after watching that you realize that this is really good drama. I loved it and spent the whole week binging on all three seasons, it was like spending a week with family, although family dramas are not my favorite genre. I generally prefer more mystery, intrigue or a good who-dun-it, but I found this to be as good as the U.S.'s This Is Us, completely different stories to tell, but an emotional roller-coaster for us the viewers as they bring our own emotions to the surface. Even the subtitles which can make or break the experience of watching something in a foreign language were spot on. In fact, everything was spot on; the acting, the editing and the directing. Thanks Netflix, I would expect to see this on Masterpiece, well done."
Bonus Family,Ran Out of Steam,Comentario no disponible
Bonus Family,Loved it,Loved it it was entertaining and very realistic would definitely recommend it
Bonus Family,"Vad ? förlåt, förlåt, förlåt - drinking game (seasons 1 to 4)",Comentario no disponible
Bonus Family,Horrible parenting,"Its like watching a horror film, the complete lack of parenting its just horrible. I may stop watching because found unbearable how Lisa allows his son and daughter to disrespect Patrick, who may be a particular kind of masochist because the life he has with his bonus family its just awful. His kid suffers too, he is kind of a second class citizen, what makes Patrick a bad father as well, but not the point of Lisa. She is also a very disrespectful partner and wife. She alerts him she is a very difficult person while pregnant, so I started second season hoping to see some humanity in her, but she is just the same b***c pregnant or not. In their own words, they are white trash and there is a limit of trash that I can see. The acting its excellent, that's why I may stop watching, it upsets me seen that the most mature advise this parent gets comes from their 15 years old girl. By the way, I may miss how they approach the theme of ADD since so far it has been just ignoring it, and its sad the producers may miss the opportunity to show some light into it, that they are many options before medication that gives tools to whom suffer because of it. Maybe in the future episodes they will address that but I think there is only so much suffering, unlike Patrick, that I can take. The most fun comes from the therapist couple, almost as dysfunctional as the bonus family, but at least they made me smile and not scream."
Dorohedoro,,
Secret City,Now THIS Is What I'm Talkin About.. Absolutely Wonderful!,"It's been a very long time since I got to enjoy something as bizarre as Dorohedoro... the animation, humor, and absolute insanity brings me back to shows like FLCL and other early 2000s anime. If you need to be spoonfed your storylines this anime isn't for you; you'll be lost most of the time as to what's going on. But if you just sit back and enjoy the LSD trip, you'll get to enjoy the mind of one seriously messed up artist LOL"
Secret City,Crazy Good Sense,"I'm absolutely obsessed with this anime

I think this was the 1st anime that gave me no nonsense or the feeling that i probably didn't get or feel right with something just because im not Japanese or deranged. All characters have their quirks and don't get me wrong... its an insane world, but yet all characters have an incredible ""good sense"". By this i mean that the character seem to react in a very natural way to every situation.

The story is super interesting from the get go and the art reminded me a lot of Akira so that was an easy win.

Super well paced, awesome fights, awesome animation and above all i always ended every episode with a good feeling.

So good i don't think i wanna spoil the anime with the manga."
Secret City,"Refreshing, bizarre, awesome","Surprisingly good. Animations are pristine, really, rarely see such beautiful artwork. Fast paced, engaging and very creative storyline. Quirky, dark, fun, distopian, horror, sci-fi, fantasy, bizarre, beautiful it has it all."
