title,title_comment,comment
True: Terrific Tales,,
The Knight and the Princess,,
Goon: Last of the Enforcers,,
Was It Love?,,
Right Here Right Now,,
Al-Khawaga's Dilemma,,
Ari Shaffir: Double Negative,,
Dikkulu Choodaku Ramayya,,
Birders,,
The 100,,
Get Organized with The Home Edit,,
Super Monsters: Santa's Super Monster Helpers,,
Vernacular Plan,,
Equinox,,
Thiago Ventura: POKAS,,
Ladies First,,
Derry Girls,You Don't. Have To Be Irish To Love This Show,One of the top 10 funniest shows I have ever seen and I am a 65 yr. old American. I just binged Season 2 and happy to report Season 3 has been confirmed. I don't often laugh out loud in my home when viewing comedy yet every episode has made me do so. Every cast member is brilliant and so is the writing. I was utteriy amazed that Clare and Michelle are in their 30's. The other 2 girls are 25. It is a testament to their acting ability that they portray teenagers so convincingly. I hope Season 3 has about 10 episodes instead of 6.
Derry Girls,Brilliantly Conceived and Written,"Hilarious, quick, quirky and brilliantly written. Funniest thing on Netflix. Set in Northern Ireland during the troubles, the jokes come from all directions-family, growing up, fitting in, Catholic schools, the folly of religious conflicts, and on and on. Lisa McGee has created a phenomenal show populated with engagingly funny characters everywhere you turn."
Derry Girls,Best comedy show I've seen in a long time,This show is a heartwarming and hilarious Brilliant writing and how it's set in Ireland during the troubles in the 90s is just very clever and brilliant
Derry Girls,Derry Girls,"Derry Girls is one of the best new comedies I have seen on TV in recent times. There's great chemistry between the lead characters who are all likable and have their own hilarious personal traits. The supporting cast are also excellent, Grandad Joe in particular I thought was very funny. I laughed a lot throughout the series and it also handled some sensitive subjects very well. I am glad that it's already been confirmed we will have a series 2!"
Derry Girls,Class.,"A thoroughly enjoyable and hilarious addition to channel 4's comedic offerings. The extreme success of 'Derry Girls' lies deeply rooted in the effective well-rounded development of the main and recurring characters. With all four of the Derry Girls being totally antithetical to each other, the show seemingly appeals to a wide and diverse audience without losing sight of its purpose as a comedy. Set in 1990s Derry, McGee intricately intertwines the treacherous and realistic political undertones as an effective backdrop to successfully juxtapose the comedic on-goings in the lives of the core characters. It should win lots of awards."
Derry Girls,Very funny,"I do not normally watch shows like this, but I found it to be laugh-out-loud funny."
Derry Girls,Derry funny indeed,"I'd almost given up on TV sit-coms, in fact the last one I really enjoyed was ""The I.T. Guys"" and how many years ago was that? Anyway, it was my wife who alerted me to this series and a quick look at the first two episodes of the second series found me looking up series one which she'd already watched and I have to say she wasn't wrong, as I found it absolutely hilarious.

It reminded me of so many of my favourite sit-coms, like ""Father Ted"", naturally, ""Press Gang"" and yes, ""The I.T. Guys"", but it still has its own identity. Set in early 1990's Derry in Northern Ireland before the Good Friday Agreement came into place, it concerns the misadventures of a group of five young friends, four female and Irish, one male and English and by extension their eccentric families.

It makes clever use of the political and religious backdrop for the comedy, the families in question being Roman Catholics living in the predominantly Protestant town of Derry, so that one episode has the hapless family attempting to head for a weekend in the country while an Orange Walk is in full swing, while another sees the young gang claim to have had holy visions in a chapel, with a statue of the Virgin Mary apparently ""smirking"" at them.

The situations are amusingly set up, but it's the rapid-fire gags, often near-the-knuckle, which had me creasing myself as well as the individual characterisations themselves. I don't know who my favourite is amongst them but the central character of Erin, with her teenage crushes, literary pretensions and down-to-earth sensibilities probably shades it, although the hormonally imbalanced Michelle, uber-enthusiastic Clare and ditzy Orla and doormat James run her close and all get their share of the good lines on offer, not to mention their dysfunctional parents and grandparents too.

All the episodes I've watched were of the same high standard with the only difficulty sometimes being the machine-gun-like Northern Irish delivery which can be a bit hard to pick up sometimes. That said I'm getting more than enough laughs from what I can see and hear so I'm not complaining too much.

To all those many millions more people currently watching the appallingly bad ""Mrs Brown's Boys"" do yourself a favour and switch to this immediately."
Derry Girls,Excellent show,"Have now watched all three episodes and simply think its wonderful writing and acting . I served in Derry 83-84 and can assure all , the humour of this show is spot on as with the acting , trust me , iv P checked more people in Derry than I care to recall however there humour never ceased to amaze me , specially the young ladies . Great show and wonderful people portrayed in difficult times ."
Derry Girls,One of the best comedies I have watched in a long time,Comentario no disponible
Derry Girls,All that and 7 bags of chips....,"I have this on a constant loop, can't wait for the next season. Ignore the Erin bashers, she is brilliant and so is the writing and the rest of the cast. I've turned off the nightly news in place of Derry Girls and my outlook has actually gotten brighter, thanks girls (and the wee English fella.)"
Derry Girls,An easy to binge series,"Sitcoms are about set up and execution. The derry girls have enough characters to have an endless amount of series. There isn't a real plot, or developmental story arc, there isn't a single lesson to learn or for the characters to learn, but watching these bold girls navigate teenage responsibilities is fun to watch. The adults are just as fun and interesting as their children. Most situations are based in reality, which makes this show even funnier. Everyone has met the derry girls in their own lives, or knows someone like them. I wish the episodes had more continuity, but the cause and effect set up doesn't disappoint."
Derry Girls,I love seeing the girls....and James.,Comentario no disponible
